Price,District,City,Town,Type,EnergyCertificate,Floor,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,EnergyEfficiencyLevel,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,LotSize,NumberOfBathrooms
330000.0,6.0,111.0,1491.0,0.0,4.0,2.0,1.0,1.0,1986.0,73.0,109.6,11.0,2.0,1.0,2.0,2.0,1.8,0.4,65.0,505.0,1.0
620000.0,6.0,108.0,1852.0,0.0,0.0,0.0,1.0,1.0,2022.0,98.0,113.0,11.0,2.0,1.0,2.0,2.0,2.0,0.0,79.0,4802.6,2.0
409000.0,6.0,4.0,53.0,7.0,9.0,19.0,2.0,1.0,2023.0,4500.0,177.0,11.0,2.0,0.0,2.0,2.0,2.2,0.0,140.0,28983.6,3.0
805000.0,6.0,85.0,759.0,0.0,1.0,4.0,2.0,1.0,2023.0,6058.0,385.0,11.0,2.0,1.0,2.0,3.0,3.0,0.0,149.0,3549.2,4.0
595000.0,6.0,108.0,1852.0,0.0,0.0,0.0,1.0,1.0,2022.6,94.0,116.0,11.0,2.0,1.0,2.0,2.0,2.0,0.4,74.0,1389.0,2.0
99000.0,6.0,85.0,759.0,19.0,6.0,19.0,0.0,0.0,1989.8,154.0,102.4,11.0,2.0,0.0,2.0,2.8,2.8,0.4,154.0,1176.2,0.0
14800.0,6.0,4.0,53.0,0.0,9.0,14.0,2.0,1.0,1993.0,58.0,77.4,11.0,2.0,0.0,2.0,1.0,1.6,0.0,58.0,3761.2,1.0
898000.0,6.0,108.0,1852.0,7.0,5.0,19.0,1.0,1.0,2001.0,259.0,286.0,11.0,2.0,0.0,2.0,3.0,3.8,0.4,259.0,14818.4,3.0
540000.0,6.0,111.0,134.0,4.0,4.0,19.0,3.0,1.0,1989.4,7576.0,412.2,11.0,2.0,0.0,2.0,4.0,4.2,0.0,188.0,4429.4,2.0
125000.0,6.0,111.0,363.0,10.0,9.0,19.0,0.0,0.0,1982.0,6650.0,6650.0,11.0,2.0,0.0,2.0,0.8,1.2,0.0,6650.0,3587.4,0.0
49900.0,6.0,224.0,1959.0,10.0,9.0,19.0,0.0,0.0,1973.2,3480.0,3480.0,11.0,2.0,0.0,2.0,1.0,0.0,0.0,2763.0,4105.2,0.0
350000.0,6.0,185.0,1449.0,0.0,0.0,0.0,2.0,1.0,2023.0,700.0,151.0,11.0,2.0,1.0,2.0,3.0,3.4,0.0,114.0,4409.8,2.0
8500.0,6.0,111.0,1491.0,0.0,9.0,8.0,0.0,0.0,1988.0,40.0,40.0,11.0,2.0,1.0,2.0,0.0,0.2,0.0,40.0,1176.0,1.0
19000.0,6.0,111.0,1491.0,0.0,9.0,8.0,0.0,0.0,1988.0,40.0,40.0,11.0,2.0,1.0,2.0,0.0,1.6,0.2,40.0,223.8,1.0
499000.0,6.0,111.0,120.0,0.0,4.0,14.0,0.0,0.0,1988.0,89.0,99.0,11.0,2.0,0.0,2.0,1.0,2.4,0.4,73.0,782.2,2.0
350000.0,6.0,157.0,1492.0,7.0,9.0,19.0,3.0,1.0,1970.0,5007.0,880.0,11.0,2.0,0.0,2.0,3.0,1.2,0.0,170.0,4409.8,0.0
280000.0,6.0,157.0,1492.0,7.0,9.0,19.0,3.0,1.0,1970.0,880.0,144.0,11.0,2.0,0.0,2.0,3.0,3.6,0.0,144.0,6023.8,0.0
473695.0,6.0,111.0,1491.0,0.0,5.0,2.0,1.0,1.0,1988.0,0.0,0.0,11.0,2.0,0.0,2.0,2.0,2.4,0.2,70.0,1131.6,1.0
1000000.0,6.0,157.0,1365.0,7.0,0.0,19.0,1.0,1.0,2022.0,213.0,423.2,11.0,2.0,0.0,2.0,3.0,2.8,0.0,213.0,35490.8,3.0
95000.0,6.0,111.0,363.0,10.0,9.0,19.0,0.0,0.0,1983.2,46500.0,46498.0,11.0,2.0,0.0,2.0,2.0,1.6,0.0,19215.6,2420.4,0.0
490000.0,6.0,185.0,1449.0,7.0,0.0,19.0,3.0,1.0,2012.0,2957.0,259.0,11.0,2.0,0.0,2.0,4.0,4.8,0.0,167.0,6267.6,3.0
640000.0,6.0,108.0,1852.0,0.0,0.0,1.0,1.0,1.0,2022.0,98.0,113.0,11.0,2.0,1.0,2.0,2.0,2.8,0.6,79.0,2560.8,2.0
2600000.0,6.0,106.0,747.0,7.0,0.0,19.0,3.0,1.0,2022.0,1479.0,541.0,11.0,2.0,1.0,2.0,4.0,4.4,0.2,294.0,27713.4,5.0
560000.0,6.0,4.0,53.0,7.0,3.0,14.0,1.0,1.0,2010.0,236.0,175.8,11.0,2.0,0.0,2.0,3.0,2.8,0.8,124.0,186.6,3.0
159900.0,6.0,157.0,1286.0,0.0,4.0,14.0,0.0,0.0,2015.0,96.0,97.2,11.0,2.0,0.0,2.0,2.0,2.6,0.2,96.0,974.8,1.0
159900.0,6.0,157.0,1286.0,0.0,4.0,0.0,0.0,0.0,2015.0,96.0,97.2,11.0,2.0,0.0,2.0,3.0,2.6,0.2,96.0,974.8,2.0
209000.0,6.0,216.0,221.0,0.0,4.0,5.0,1.0,1.0,1975.0,49.0,49.0,11.0,2.0,1.0,2.0,1.0,1.8,0.2,48.0,1346.4,1.0
184000.0,6.0,185.0,1449.0,0.0,6.0,1.0,0.0,0.0,1983.0,96.0,118.6,11.0,2.0,1.0,2.0,2.0,2.0,0.6,88.0,406.6,1.0
305000.0,6.0,216.0,1787.0,7.0,6.0,19.0,0.0,0.0,2011.0,160.0,200.0,11.0,2.0,0.0,2.0,3.0,1.8,0.6,200.0,1868.8,2.0
540000.0,6.0,111.0,134.0,7.0,4.0,19.0,3.0,1.0,1981.0,7576.0,412.2,11.0,2.0,0.0,2.0,4.0,4.2,0.0,188.0,4201.4,0.0
35000.0,6.0,261.0,2173.0,10.0,9.0,19.0,0.0,0.0,1968.4,7250.0,5531.6,11.0,2.0,0.0,2.0,0.0,0.0,0.0,6994.0,2132.6,0.0
355000.0,6.0,185.0,1449.0,0.0,0.0,0.0,2.0,1.0,2023.0,700.0,151.0,11.0,2.0,1.0,2.0,3.0,3.6,0.4,114.0,7641.8,2.0
355000.0,6.0,185.0,1449.0,0.0,0.0,1.0,2.0,1.0,2023.0,700.0,155.0,11.0,2.0,1.0,2.0,3.0,3.6,0.4,114.0,7641.8,2.0
370000.0,6.0,185.0,1449.0,0.0,0.0,3.0,2.0,1.0,2023.0,700.0,155.0,11.0,2.0,1.0,2.0,3.0,4.2,0.4,114.0,2019.6,2.0
249500.0,6.0,4.0,53.0,0.0,6.0,1.0,0.0,0.0,1989.0,69.0,108.2,11.0,2.0,0.0,2.0,2.0,1.8,0.6,65.0,195.6,2.0
875000.0,6.0,157.0,1173.0,7.0,7.0,19.0,3.0,1.0,1997.0,51520.0,8518.8,11.0,2.0,0.0,2.0,3.0,1.6,0.0,51520.0,6985.8,2.0
6500.0,6.0,4.0,53.0,0.0,9.0,3.0,0.0,0.0,1990.0,42.0,32.8,11.0,2.0,1.0,2.0,1.0,0.2,0.2,42.0,157.0,1.0
223000.0,6.0,185.0,1449.0,0.0,5.0,1.0,0.0,0.0,1981.0,100.0,141.2,11.0,2.0,1.0,2.0,3.0,2.0,0.4,89.0,835.4,2.0
75000.0,6.0,13.0,113.0,10.0,9.0,19.0,0.0,0.0,1990.8,1000.0,199.4,11.0,2.0,0.0,2.0,2.4,1.6,0.0,156.8,959.6,0.0
216000.0,6.0,261.0,1613.0,0.0,4.0,14.0,0.0,0.0,1992.0,61.0,112.2,11.0,2.0,0.0,2.0,1.0,2.2,0.4,61.0,1760.8,1.0
180000.0,6.0,185.0,156.0,0.0,4.0,14.0,0.0,0.0,1989.0,66.0,66.0,11.0,2.0,0.0,2.0,1.0,2.2,0.4,59.0,606.8,1.0
1400000.0,6.0,185.0,156.0,7.0,5.0,19.0,3.0,1.0,2008.0,1120.0,446.0,11.0,2.0,0.0,2.0,4.0,4.2,0.6,221.0,5511.6,2.0
349000.0,6.0,85.0,617.0,10.0,9.0,14.0,0.0,0.0,1951.0,13290.0,552.6,11.0,2.0,0.0,2.0,4.0,1.2,0.0,140.0,37510.4,0.0
37000.0,6.0,4.0,53.0,0.0,3.0,0.0,1.0,1.0,1994.0,68.0,143.2,11.0,2.0,1.0,2.0,1.0,1.2,0.0,68.0,455.8,0.0
660000.0,6.0,216.0,221.0,7.0,9.0,19.0,2.0,1.0,2023.0,168.0,143.6,11.0,2.0,0.0,2.0,3.0,3.2,0.0,141.0,395.0,3.0
6000.0,6.0,4.0,53.0,0.0,9.0,0.0,1.0,1.0,1989.0,40.0,40.0,11.0,2.0,1.0,2.0,0.0,0.2,0.2,40.0,4325.0,1.0
680000.0,6.0,216.0,221.0,7.0,9.0,19.0,2.0,1.0,2023.0,168.0,179.0,11.0,2.0,0.0,2.0,3.0,2.6,0.0,141.0,120457.8,3.0
4000.0,6.0,4.0,53.0,0.0,9.0,0.0,1.0,1.0,1989.0,40.0,40.0,11.0,2.0,1.0,2.0,0.0,0.2,0.4,40.0,6234.8,1.0
235000.0,6.0,216.0,1787.0,7.0,6.0,19.0,0.0,0.0,1951.0,1000.0,283.0,11.0,2.0,0.0,2.0,3.0,4.0,0.0,160.0,840.8,2.0
25500.0,6.0,4.0,53.0,15.0,9.0,1.0,2.0,1.0,1990.0,27.0,106.6,11.0,2.0,1.0,2.0,0.0,1.2,0.2,27.0,4653.6,1.0
1300000.0,6.0,216.0,221.0,10.0,9.0,19.0,0.0,0.0,1995.0,9550.0,3710.6,11.0,2.0,0.0,2.0,3.8,5.4,0.0,3617.8,11872.6,0.0
1580000.0,17.0,186.0,87.0,0.0,4.0,14.0,3.0,1.0,2006.0,275.0,412.0,11.0,2.0,1.0,2.0,4.0,2.8,0.2,275.0,6021.2,4.0
265000.0,6.0,85.0,759.0,0.0,5.0,3.0,0.0,0.0,1997.0,100.0,86.0,11.0,2.0,1.0,2.0,2.0,2.2,0.6,100.0,621.8,2.0
275000.0,6.0,185.0,156.0,0.0,4.0,1.0,0.0,0.0,1985.0,270.0,110.0,11.0,2.0,0.0,2.0,2.0,2.8,0.0,96.0,10889.2,1.0
